response_id,class,response_text,,,,,
response_24,not_flagged,"Sometimes my friends bring up issues they are having with themselves, and I feel that I give them good advice and make them feel adequate and normal. I just try to be kind and helpful and honest.",,,,,
response_25,not_flagged,never i guess people dont see me as a guy they would go to,,,,,
response_26,flagged,"Last year, my best friend was diagnosed with anxiety disorder and depression. She tried to commit suicide. I tried my best to be there for her the entire time throughout her recovery.",,,,,
response_27,flagged,Cleaning up my friend's campsite and slightly helping him while he was living all summer as an alcoholic in the Mt. Hood woods.,,,,,
response_28,not_flagged,i listen pretty damn well. better at that as apposed to telling my own story.,,,,,
response_29,flagged,Helping a friend through dealing with his alcoholic mother.,,,,,
response_30,not_flagged,I used to tutor homeless men at a shelter to help them obtain their GED's. They were all age 50+ and some of them were even reading at a first grade level.,,,,,
response_31,not_flagged,I am a high school teacher so almost everyday.,,,,,
response_32,not_flagged,Friends often come to me to talk about the issues that they're facing in life.,,,,,
response_33,not_flagged,"Summer camp, countless kids have the same issue. I tell them i how it is when you cant listen or are restless.",,,,,
response_34,not_flagged,"Haha. In eight grade, kid got rejected twice. Wanted her to sign his yearbook but he was too nervous. I told him she doesn't really care about rejecting him and she thinks no less of him. He did it.    Probably more, but that's what comes up off the top of my head.",,,,,
response_35,not_flagged,Don't have a specific example but just letting people know you're there if they want to talk.,,,,,
response_36,not_flagged,Some of my friends have gone through the same type of struggle I have been through. I let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up.,,,,,
response_37,flagged,"Friend who had big addiction issues, ended up being completely isolated, skipped school, and had a very low self esteem. I convinced him to go see a doc together, and promised him that i would go through everything with him. He went to rehab for a few months and now he's clean. But the complete lack of support from his family, from school, changed him. I think it was too late when I helped him (he was like that for 5 months) and he'll never be the same as before.",,,,,
response_38,not_flagged,I've always been a good listener for people and I think a lot of people just want to be heard and not necessarily fixed. They just need to express themselves to relief their thoughts to others so they're not trapped so much within the confines of their own head.  I've always lent an ear for someone to speak to.,,,,,
response_39,flagged,One of my best friends was diagnosed with cancer and I did as much as I could for him during that time. I visited him almost every day when he was in treatment just so he didn't have to be alone or anything. When he came back to school I helped him get caught up with school work too.,,,,,
response_40,not_flagged,I don't think I'm qualified to be a serious resource for someone else.,,,,,
response_41,flagged,Many times for my one friend who tried hard drugs (cocaine) and was dealing with depression because of girls,,,,,
response_42,not_flagged,"A lot for my friends. When they have had girl problems, or have just been down in the dumps about life. I always try to look on the positive side of life, and I try to reflect that on my friends' lives as well.",,,,,
response_43,not_flagged,"I'm the theripist of my friends, they always come to me",,,,,
response_44,not_flagged,Describe?    Nah,,,,,
response_45,not_flagged,"My brother went through the same struggles I did, after i found help I was able to set him on the path to healing.",,,,,
response_46,not_flagged,Friend got dumped by girl he had been in a relationship in for 2 years. I stayed by his side until he stopped feeling bad about it. I was there for him.,,,,,
response_47,not_flagged,I open myself to any friend in need of emotional support.,,,,,
response_48,not_flagged,GF and I help her through a lot of shit because I myself have been through a lot of shit.,,,,,
response_49,flagged,"I had a friend that would go off about girls and get super depressed. He told me he was going to kill himself one night and I drove 1n hour and a half to go look for him. By then the cops had already taken him to the hospital but me and a friend went and hung out with him. Also been there to help try and talk him down. Another person I hadnt been friends with for years cause of some stuff called me out of the blue on thankgiving last year. I called back and got a hospital number so I knew something was up. Ended up being a kid who I was friends with years before but was a huge douche to me. He was in the psych ward for trying to kill himself. I got a hold of him and talked to him for a while. Whenever he would call I would answer and be there even though I still had the shit from years earlier on my mind. There are people that I might not want to be around but if it's a situation like this I'll be there for people. My goal or purpose in life that's sustained my survival is to help make other peoples lives a little bit better. Make people laugh when they're sad, help people out when nobody else will. Basically treat other humans even strangers with the respect and kindness of a friend. That's all people need sometime. Let people talk through their shit with me and offer helpful advice if I can. I'm still swimming in my own shit but that's enough to keep me going, keep that little light at the end of the tunnel switched on. Idk how long that will last but I'll be here till it flickers out.",,,,,
response_50,not_flagged,Sometimes I'll calm my friends down after bad stuff happens.,,,,,
response_51,not_flagged,"I once acted as a resource for someone who was struggling in school, and I helped them with their schoolwork.",,,,,
response_52,flagged,My friend was going through a period of intense depression and i made sure that i was always there for him.,,,,,
response_53,not_flagged,"I have talked though some major blows in my girlfriends life. She has had some tough times, and I helped her with them.",,,,,
response_54,not_flagged,Talking to a friend over a break up.,,,,,
response_55,not_flagged,I care about other people more than myself so I listen and help them through tough times,,,,,
response_56,not_flagged,"Over the internet a LOT of people write to me to talk about their problems. Its often girl related, I dont know, I guess it can be nice to rant to someone you dont know irl/someone who can look at the situation a little bit more objective? I think a lot of guys also feel that it can be hard to talk to girl friends irl about their innermost feelings sometimes, thats the feeling I get at least. My friend jokingly refers to me as an Agony Aunt""", because so many people come to me with their problems. All I do is listen,,  ,, 
response_57,not_flagged,"Friends sometimes come up to me and ask for advice,  I try and give it the best I possibly can",,,,,
response_58,flagged,"My friend dealt with anxiety and this desire for everything in her life to be perfect, she describes it as caring what happens to much, but either way I simply talked to her and when she would try and change the subject I would have to drag her back in due the fact that she didn't want to talk about it, but in reality she wouldn't get better unless i pulled her back into it and helped her through it. But how i helped was by basically talking to her, and giving her the advice she needed to hear, not the one she wanted to such as oh you'll be ok  this will all blow over"" what i said was more along the lines of being so blunt that many may find it rude but for her and i it was essential to making any progress.""""y friend dealt with anxiety and this desire for everything in her life to be perfect  she describes it as caring what happens to much  but either way I simply talked to her and when """,,,,,
response_59,not_flagged,Simply being there as a friend for somebody who's struggling.,,,,,
response_60,flagged,I've had some friends come to me saying people or acquaintances they've known who have killed themselves try and find comfort with me because my best friend killed himself my junior year of high school so they've come to me hoping to find some answers or peace in the turmoil.,,,,,
response_61,not_flagged,"People calling, talk some sense into them, maybe facebook chat..",,,,,
response_62,flagged,"Having self harmed in the past,  I shared my experience with a friend in hopes of swaying her from those actions.",,,,,
response_63,not_flagged,Have worked through problems with friends,,,,,
response_64,not_flagged,When my friend needed help when she was going through some tough stuff. I knew that she needed it but she wouldn't admit it. So I brought it up and initiated it and we talked about it and it really helped her.,,,,,
response_65,flagged,My sister has some pretty severe issues  with her mental health. I try to be there for her when she needs it and I'd like to think its helped her.,,,,,
response_66,not_flagged,Helped friends through stuff.,,,,,
response_67,not_flagged,"I helped encourage a friend to go to therapy, and often listened to their problem to let them know there was someone there for them.",,,,,
response_68,not_flagged,I haven't really met anyone dealing with attention issues. So I haven't had a chance to help unfortunately.,,,,,
response_69,not_flagged,"there are too many to remember specifically, but being as helpful and rational as possible (as well as just listening) with people that need it is a fairly common occurrence",,,,,
response_70,not_flagged,"one of my friends was feeling down, so he came over and talked it out while I listened and gave him some input.",,,,,
response_71,not_flagged,never.,,,,,
response_72,not_flagged,I have tried but am absolutely horrable at it and am way too blunt.,,,,,
response_73,flagged,Ex girlfriend had depression and anxiety. I used to hold her and listen as she told me what was going on,,,,,
response_74,not_flagged,"Always. I don't judge people to much, and can listen well most of the time. So naturally people come to me with their problems.",,,,,
response_75,flagged,My grandmother went through some severe depression shortly after I had some difficulties. Using my personal experience to relate with her and share what I used to get better was helpful to comfort her.,,,,,
response_76,not_flagged,"Now that I've been through it, although i'm not even where I'd like to be, I'm extremely open about sharing my experience with others and helping friends going through similar situations. And PLEASE if you have any other questions about my situation don't hesitate to email me. I'm an open book and excited to see how many people you're going to help.",,,,,
response_77,flagged,when my best friends mom past away from od'ing when he was in grade 5,,,,,
response_78,not_flagged,As a camp counselor I provide stability in kids lives who may have troubled home situations.,,,,,
response_79,flagged,My now girlfriend used to have serious addiction troubles before we started dating and felt as though her addiction defined her as a person. She thought that all people saw when they looked at her was the addiction. I spent many nights with her talking and letting her vent. I was one of the only people supporting her and she felt as though I could help because I had been in her spot.,,,,,
response_80,not_flagged,"The one person I ever talked to it was because we were both going through the same thing. Us talking together helped, it was important to realize you aren't alone",,,,,
